x,y,z,r,g,b
27,35,24,0.5565359477124182,0.48921568627450984,0.4516339869281047
54,37,26,0.6226579520697167,0.5437908496732026,0.5067538126361656
26,35,25,0.5580392156862743,0.487843137254902,0.44980392156862753
26,35,24,0.5565062388591799,0.4819964349376114,0.4449197860962568
49,15,32,0.28070175438596473,0.250361197110423,0.1821465428276575
25,35,25,0.557843137254902,0.4852941176470588,0.44901960784313727
25,35,24,0.5542483660130718,0.4843137254901961,0.44640522875816996
73,0,13,0.2870588235294117,0.27921568627450977,0.2647058823529412
49,0,50,0.26405228758169935,0.29934640522875816,0.31699346405228757
24,35,26,0.5623529411764705,0.4886274509803921,0.4454901960784314
23,35,27,0.5474509803921569,0.4752941176470588,0.4337254901960785
22,35,28,0.5350762527233115,0.4710239651416122,0.4296296296296296
21,35,29,0.5323529411764706,0.47196078431372557,0.43431372549019615
15,8,31,0.2156862745098039,0.1784313725490196,0.153921568627451
22,35,29,0.5337690631808278,0.4714596949891068,0.43180827886710244
21,35,30,0.515723270440252,0.45697373288938203,0.42123566407695123
21,35,26,0.5272331154684095,0.46601307189542485,0.4305010893246188
64,11,33,0.5906862745098039,0.5225490196078432,0.4720588235294118
21,35,25,0.5266435986159168,0.4648212226066898,0.4290657439446368
21,35,24,0.5199999999999999,0.45843137254901967,0.4243137254901962
21,35,23,0.5161764705882352,0.4563725490196079,0.420343137254902
22,35,25,0.5480392156862746,0.47941176470588237,0.4392156862745098
22,35,24,0.5478991596638655,0.48067226890756304,0.44089635854341747
22,35,22,0.5500515995872032,0.48379772961816303,0.4505675954592363
24,35,23,0.5493464052287581,0.4800653594771242,0.4441176470588237
23,35,22,0.5468409586056644,0.4816993464052287,0.4505446623093682
31,8,31,0.19803921568627453,0.18823529411764706,0.16666666666666669
24,35,22,0.5510835913312693,0.48689370485036126,0.45614035087719307
26,35,23,0.5428571428571428,0.4705882352941177,0.438655462184874
25,35,22,0.544705882352941,0.4870588235294117,0.45764705882352946
28,35,22,0.5370098039215686,0.47965686274509806,0.45367647058823535
28,35,23,0.5503267973856208,0.4830065359477124,0.4503267973856209
27,35,23,0.5490196078431372,0.48169934640522877,0.44836601307189544
29,35,23,0.5411764705882353,0.47538126361655775,0.44357298474945545
53,41,20,0.5447712418300653,0.4957516339869281,0.4705882352941177
30,35,23,0.5411764705882353,0.47338935574229696,0.44201680672268917
31,35,23,0.5348039215686274,0.46617647058823536,0.4357843137254903
58,0,9,0.25960784313725493,0.291764705882353,0.3066666666666667
